timestamp,open,high,low,close,close_time,isPivot,trueRange,pattern_detected,againInLevelZone,openTransaction,openedTransaction
2024-05-27 19:22:00,69915.99,69917.1,69882.64,69883.66,2024-05-27 19:22:59.999,0,34.4600000000064,0,0,0,0
2024-05-27 19:23:00,69883.67,69883.67,69846.02,69854.78,2024-05-27 19:23:59.999,2,37.64999999999418,0,0,0,0
2024-05-27 19:24:00,69850.93,69885.62,69850.93,69875.27,2024-05-27 19:24:59.999,0,34.69000000000233,0,0,0,0
2024-05-27 19:25:00,69872.01,69915.95,69872.01,69915.95,2024-05-27 19:25:59.999,0,43.94000000000233,0,0,0,0
2024-05-27 19:26:00,69916.56,69946.57,69916.56,69946.57,2024-05-27 19:26:59.999,0,30.620000000009895,0,0,0,0
2024-05-27 19:27:00,69946.57,69951.57,69946.57,69951.57,2024-05-27 19:27:59.999,1,5.0,0,0,0,0
2024-05-27 19:28:00,69950.0,69950.0,69930.65,69934.0,2024-05-27 19:28:59.999,2,20.920000000012806,0,0,0,0
2024-05-27 19:29:00,69934.0,69937.5,69930.75,69932.02,2024-05-27 19:29:59.999,0,6.75,0,0,0,0
2024-05-27 19:30:00,69928.36,69937.5,69928.36,69936.0,2024-05-27 19:30:59.999,2,9.139999999999418,0,0,0,0
2024-05-27 19:31:00,69936.0,69960.0,69936.0,69960.0,2024-05-27 19:31:59.999,0,24.0,0,0,0,0
2024-05-27 19:32:00,69960.0,69963.45,69959.22,69963.45,2024-05-27 19:32:59.999,0,4.2299999999959255,0,0,0,0
2024-05-27 19:33:00,69963.49,69963.49,69936.91,69937.59,2024-05-27 19:33:59.999,1,26.580000000001746,0,0,0,0
2024-05-27 19:34:00,69936.9,69936.9,69936.89,69936.9,2024-05-27 19:34:59.999,2,0.6999999999970896,0,0,0,0
2024-05-27 19:35:00,69936.9,69956.6,69936.9,69956.6,2024-05-27 19:35:59.999,0,19.70000000001164,0,0,0,0
2024-05-27 19:36:00,69956.61,69956.94,69956.61,69956.94,2024-05-27 19:36:59.999,0,0.33999999999650754,0,0,0,0
2024-05-27 19:37:00,69955.69,69960.0,62495.0,69950.01,2024-05-27 19:37:59.999,2,7465.0,0,0,0,0
2024-05-27 19:38:00,69950.01,69960.86,69950.01,69960.85,2024-05-27 19:38:59.999,0,10.85000000000582,0,0,0,0
2024-05-27 19:39:00,69960.86,69960.89,69958.59,69960.86,2024-05-27 19:39:59.999,0,2.3000000000029104,0,0,0,0
2024-05-27 19:40:00,69960.86,69988.33,69960.86,69988.33,2024-05-27 19:40:59.999,0,27.470000000001164,0,0,0,0
2024-05-27 19:41:00,69988.33,69997.3,69969.67,69973.88,2024-05-27 19:41:59.999,1,27.630000000004657,0,0,0,0
